,cc_id,chart_id_cc,chart_id_matches_cc,title_cc,details_cc,source_raw_cc,nm_id,published_date_cc,raw_text_cc,title_ntm,references_ntm,referenced_nm_ids,details_ntm,charts_raw_ntm,chart_ids_ntm,publication_ntm,raw_text_ntm,source_pdf_ntm,Unnamed: 18,sufficient_context,Notes (from me),additional_source
18,00032-26,160,['160'],Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth discovered through survey.,"Delete the depth 9.4 m nearby position 1).
Insert the depth 8 m at position 1).
1) 55° 06.106'N - 011° 11.968'E",NM-060-26,NM-060-26,2/4/26,"00032-26
Chart 160 2026-02-04
Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth discovered through survey.
Details:
Delete the depth 9.4 m nearby position 1).
Insert the depth 8 m at position 1).
1) 55° 06.106'N - 011° 11.968'E
Source: NM-060-26
Published: 2026-02-04",Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth.,,[],"A depth as stated exits in the mentioned position.
55° 06.106'N - 011° 11.968'E, 8.0m.","160, 142 (INT 1368), 103 (INT 1303).","['160', '142', '103']",(GST 28 January 2026. Published 29 January 2026),"NM-060-26
Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth.
Details
A depth as stated exits in the mentioned position.
55° 06.106'N - 011° 11.968'E, 8.0m.
Charts
160, 142 (INT 1368), 103 (INT 1303).
(GST 28 January 2026. Published 29 January 2026)",NtM-Week-6-2026.pdf,,0,,
19,00032-26,142,['142'],Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth discovered through survey.,"Delete the depth 9.4 m nearby position 1).
Insert the depth 8 m at position 1).
1) 55° 06.106'N - 011° 11.968'E",NM-060-26,NM-060-26,2/4/26,"00032-26
Chart 142 2026-02-04
Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth discovered through survey.
Details:
Delete the depth 9.4 m nearby position 1).
Insert the depth 8 m at position 1).
1) 55° 06.106'N - 011° 11.968'E
Source: NM-060-26
Published: 2026-02-04",Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth.,,[],"A depth as stated exits in the mentioned position.
55° 06.106'N - 011° 11.968'E, 8.0m.","160, 142 (INT 1368), 103 (INT 1303).","['160', '142', '103']",(GST 28 January 2026. Published 29 January 2026),"NM-060-26
Denmark. The Waters South of Zealand. Omø Tofte SE. Reduced depth.
Details
A depth as stated exits in the mentioned position.
55° 06.106'N - 011° 11.968'E, 8.0m.
Charts
160, 142 (INT 1368), 103 (INT 1303).
(GST 28 January 2026. Published 29 January 2026)",NtM-Week-6-2026.pdf,,0,,
20,00030-26,134,['134'],Denmark. The Sound. Københavns Havn. Tre Kroner N. Wreck removed.,"Delete the wreck (INT 1 – K 29) at position 1).
Delete ""PA"" (INT 1 – B 7) nearby.
1) 55° 42.249'N - 012° 36.808'E",NM-067-26,NM-067-26,2/3/26,"00030-26
Chart 134 2026-02-03
Denmark. The Sound. Københavns Havn. Tre Kroner N. Wreck removed.
Details:
Delete the wreck (INT 1 – K 29) at position 1).
Delete ""PA"" (INT 1 – B 7) nearby.
1) 55° 42.249'N - 012° 36.808'E
Source: NM-067-26
Published: 2026-02-03",Denmark. The Sound. Københavns Havn. Tre Kroner N. Wreck removed.,,[],"The wreck in the mentioned position has been removed.
55° 42.249'N - 012° 36.808'E.","134 (INT 1334), 133 (INT 1333), 132 (INT 1332), 131 (INT 1331), 104, 102 (INT 1302).","['134', '133', '132', '131', '104', '102', '3122']",(GST 28 January 2026. Published 30 January 2026),"NM-067-26
Denmark. The Sound. Københavns Havn. Tre Kroner N. Wreck removed.
Details
The wreck in the mentioned position has been removed.
55° 42.249'N - 012° 36.808'E.
Charts
134 (INT 1334), 133 (INT 1333), 132 (INT 1332), 131 (INT 1331), 104, 102 (INT 1302).
Publication
www.danskehavnelods.dk. Wreck ID 3122.
(GST 28 January 2026. Published 30 January 2026)",NtM-Week-6-2026.pdf,,0,,www.danskehavnelods.dk. Wreck ID 3122.
21,00028-26,127,['127'],Denmark. Kattegat. Aarhus Havn. Omniterminal. Construction works. Working area established.,"Insert area (INT 1 – N 1.1) bounded by positions 1) to 6).
Insert buoyage as specified at positions 2) to 5).
Insert the text ""Under Construction (2026)"" in the center of the area.
1) 56° 09.148'N - 010° 13.898'E
2) 56° 09.134'N - 010° 13.928'E, yellow spar buoy with cross topmark, Fl.Y.3s
3) 56° 09.231'N - 010° 14.083'E, yellow spar buoy with cross topmark, Fl.Y.3s
4) 56° 09.329'N - 010° 14.239'E, green conical buoy with topmark, Fl(2)G.5s
5) 56° 09.418'N - 010° 14.059'E, yellow spar buoy with cross topmark, Fl.Y.3s
6) 56° 09.410'N - 010° 14.046'E",NM-051-26,NM-051-26,1/28/26,"00028-26
Chart 127 2026-01-28
Denmark. Kattegat. Aarhus Havn. Omniterminal. Construction works. Working area established.
Details:
Insert area (INT 1 – N 1.1) bounded by positions 1) to 6).
Insert buoyage as specified at positions 2) to 5).
Insert the text ""Under Construction (2026)"" in the center of the area.
1) 56° 09.148'N - 010° 13.898'E
2) 56° 09.134'N - 010° 13.928'E, yellow spar buoy with cross topmark, Fl.Y.3s
3) 56° 09.231'N - 010° 14.083'E, yellow spar buoy with cross topmark, Fl.Y.3s
4) 56° 09.329'N - 010° 14.239'E, green conical buoy with topmark, Fl(2)G.5s
5) 56° 09.418'N - 010° 14.059'E, yellow spar buoy with cross topmark, Fl.Y.3s
6) 56° 09.410'N - 010° 14.046'E
Source: NM-051-26
Published: 2026-01-28",Denmark. Kattegat. Aarhus. Omniterminal. Construction works. Working area established.,NM-715-25 - (updated repetition).,['NM-715-25'],"Until ending December 2026, construction works are being carried out within an area bounded by a line through
positions 1) - 6).
1) 56° 09.148'N - 010° 13.898'E
2) 56° 09.134'N - 010° 13.928'E yellow spar buoy with cross topmark Fl.Y.3s
3) 56° 09.231'N - 010° 14.083'E yellow spar buoy with cross topmark Fl.Y.3s
4) 56° 09.329'N - 010° 14.239'E green conical buoy with topmark Fl(2)G.5s
5) 56° 09.418'N - 010° 14.059'E yellow spar buoy with cross topmark Fl.Y.3s
6) 56° 09.410'N - 010° 14.046'E
Mariners are requested to pass with caution.","127 (INT 1372), 112 (INT 1380), 102 (INT 1302).","['127', '112', '102']",(Port of Aarhus 26 January 2026. Published 27 January 2026),"NM-051-26
Denmark. Kattegat. Aarhus. Omniterminal. Construction works. Working area established.
References
NM-715-25 - (updated repetition).
Details
Until ending December 2026, construction works are being carried out within an area bounded by a line through positions 1) - 6).
1) 56° 09.148'N - 010° 13.898'E
2) 56° 09.134'N - 010° 13.928'E yellow spar buoy with cross topmark Fl.Y.3s
3) 56° 09.231'N - 010° 14.083'E yellow spar buoy with cross topmark Fl.Y.3s
4) 56° 09.329'N - 010° 14.239'E green conical buoy with topmark Fl(2)G.5s
5) 56° 09.418'N - 010° 14.059'E yellow spar buoy with cross topmark Fl.Y.3s
6) 56° 09.410'N - 010° 14.046'E
Mariners are requested to pass with caution.
Charts
127 (INT 1372), 112 (INT 1380), 102 (INT 1302).
Publication
www.danskehavnelods.dk.
(Port of Aarhus 26 January 2026. Published 27 January 2026)",NtM-Week-5-2026.pdf,,1,,www.danskehavnelods.dk.
22,00027-26,93,['93'],Denmark. The North Sea. Hvide Sande SW. Wreck.,"Insert wreck (INT 1 – K 28) at position 1).
Insert ""PA"" (INT 1 – B 7) and ""Rep (2026)"" (INT 1 – I 3.2) nearby.
1) 55° 58.200'N - 008° 05.000'E",NM-033-26,NM-033-26,1/27/26,"00027-26
Chart 93 2026-01-27
Denmark. The North Sea. Hvide Sande SW. Wreck.
Details:
Insert wreck (INT 1 – K 28) at position 1).
Insert ""PA"" (INT 1 – B 7) and ""Rep (2026)"" (INT 1 – I 3.2) nearby.
1) 55° 58.200'N - 008° 05.000'E
Source: NM-033-26
Published: 2026-01-27",Denmark. The North Sea. Hvide Sande SW. Wreck.,NM-899-25 - (cancelled).,['NM-899-25'],"A wreck has been reported in the mentioned approx. position.
55° 58.2'N - 008° 05.0'E.
The depth above the wreck is unknown.
The wreck is not buoyed.",93 (INT 1044).,"['93', '3265']",(MAS 24 October 2025 and DEMA 15 January 2026. Published 16 January 2026),"NM-033-26
Denmark. The North Sea. Hvide Sande SW. Wreck.
References
NM-899-25 - (cancelled).
Details
A wreck has been reported in the mentioned approx. position.
55° 58.2'N - 008° 05.0'E.
The depth above the wreck is unknown.
The wreck is not buoyed.
Charts
93 (INT 1044).
Publication
Wreck ID 3265.
(MAS 24 October 2025 and DEMA 15 January 2026. Published 16 January 2026)",NtM-Week-4-2026.pdf,,0,,Wreck ID 3265.
23,00026-26,134,['134'],Denmark. The Sound. Københavns Havn. Langeliniekaj. Buoyed prohibited area cancelled.,"Delete the prohibited area (INT 1 – N 2.2) bounded by positions 1) to 4).
Delete the buoyage as specified at positions 2) and 3).
1) 55° 41.774'N - 012° 36.035'E
2) 55° 41.773'N - 012° 36.068'E, yellow spar buoy with cross topmark
3) 55° 41.714'N - 012° 36.062'E, yellow spar buoy with cross topmark
7) 55° 41.692'N - 012° 36.033'E",NM-026-26,NM-026-26,1/27/26,"00026-26
Chart 134 2026-01-27
Denmark. The Sound. Københavns Havn. Langeliniekaj. Buoyed prohibited area cancelled.
Details:
Delete the prohibited area (INT 1 – N 2.2) bounded by positions 1) to 4).
Delete the buoyage as specified at positions 2) and 3).
1) 55° 41.774'N - 012° 36.035'E
2) 55° 41.773'N - 012° 36.068'E, yellow spar buoy with cross topmark
3) 55° 41.714'N - 012° 36.062'E, yellow spar buoy with cross topmark
7) 55° 41.692'N - 012° 36.033'E
Source: NM-026-26
Published: 2026-01-27",Denmark. The Sound. Københavns Havn. Langeliniekaj. Buoyed prohibited area cancelled.,NM-468-25.,['NM-468-25'],"The prohibited area bounded by a line through positions 1) - 4) has been cancelled, and the buoyage in positions 2) and 3) has been withdrawn.
1) 55° 41.774'N - 012° 36.035'E coast
2) 55° 41.773'N - 012° 36.068'E yellow spar buoy with cross topmark
3) 55° 41.714'N - 012° 36.062'E yellow spar buoy with cross topmark
4) 55° 41.692'N - 012° 36.033'E coast
Unauthorized navigation, diving, anchoring, fishing and working on the seabed is prohibited in the area.",134 (INT 1334).,['134'],(By & Havn and DEMA 15 January 2026. Published 16 January 2026),"NM-026-26
Denmark. The Sound. Københavns Havn. Langeliniekaj. Buoyed prohibited area cancelled.
References
NM-468-25.
Details
The prohibited area bounded by a line through positions 1) - 4) has been cancelled, and the buoyage in positions 2) and 3) has been withdrawn.
1) 55° 41.774'N - 012° 36.035'E coast
2) 55° 41.773'N - 012° 36.068'E yellow spar buoy with cross topmark
3) 55° 41.714'N - 012° 36.062'E yellow spar buoy with cross topmark
4) 55° 41.692'N - 012° 36.033'E coast
Unauthorized navigation, diving, anchoring, fishing and working on the seabed is prohibited in the area.
Charts
134 (INT 1334).
Publication
www.danskehavnelods.dk.
(By & Havn and DEMA 15 January 2026. Published 16 January 2026)",NtM-Week-4-2026.pdf,,1,,www.danskehavnelods.dk.
24,00019-26,153,['153'],Denmark. The Little Belt. Haderslev Fjord. Port regulation.,"Insert Harbour limit (INT 1 – N 49) bounded by positions 1) to 12).
1) 55°14.8561'N - 009°29.6794'E
2) 55°14.8531'N - 009°29.6794'E
3) 55°14.8516'N - 009°29.7090'E
4) 55°14.8606'N - 009°29.7448'E
5) 55°14.8939'N - 009°29.8116'E
6) 55°14.9133'N - 009°29.8973'E
7) 55°14.9235'N - 009°30.0170'E
8) 55°14.9588'N - 009°30.1633'E
9) 55°15.0205'N - 009°30.2375'E
10) 55°15.0732'N - 009°30.4157'E
11) 55°15.0740'N - 009°30.5531'E
12) 55°15.1092'N - 009°30.5477'E",NM-007-26,NM-007-26,1/20/26,"00019-26
Chart 153 2026-01-20
Denmark. The Little Belt. Haderslev Fjord. Port regulation.
Details:
Insert Harbour limit (INT 1 – N 49) bounded by positions 1) to 12).
1) 55°14.8561'N - 009°29.6794'E
2) 55°14.8531'N - 009°29.6794'E
3) 55°14.8516'N - 009°29.7090'E
4) 55°14.8606'N - 009°29.7448'E
5) 55°14.8939'N - 009°29.8116'E
6) 55°14.9133'N - 009°29.8973'E
7) 55°14.9235'N - 009°30.0170'E
8) 55°14.9588'N - 009°30.1633'E
9) 55°15.0205'N - 009°30.2375'E
10) 55°15.0732'N - 009°30.4157'E
11) 55°15.0740'N - 009°30.5531'E
12) 55°15.1092'N - 009°30.5477'E
Source: NM-007-26
Published: 2026-01-20",Denmark. The Little Belt. Haderslev Fjord. Port regulation.,,[],"Danish Civil Aviation and Railway Authority has 6 January 2026, provided a new port regulation for the port in the mentioned position.
55° 14.954'N - 009° 30.113'E, Haderslev Lystbådehavn Nord.
The regulation enters into force 21 January 2026.
Note
Information regarding the content of the port regulation can be obtained at the port authority.",153,['153'],(TS 6 January 2026. Published 7 January 2026),"NM-007-26
Denmark. The Little Belt. Haderslev Fjord. Port regulation.
Details
Danish Civil Aviation and Railway Authority has 6 January 2026, provided a new port regulation for the port in the mentioned position.
55° 14.954'N - 009° 30.113'E, Haderslev Lystbådehavn Nord.
The regulation enters into force 21 January 2026.
Note
Information regarding the content of the port regulation can be obtained at the port authority.
Charts
153.
Publication
www.danskehavnelods.dk.
(TS 6 January 2026. Published 7 January 2026)",NtM-Week-2-2026.pdf,,0,,www.danskehavnelods.dk.
25,00018-26,155,['155'],Denmark. The Little Belt. Sønderborg Havn. Nordhavnen. Prohibited area cancelled. Buoyage withdrawn.,"Delete the prohibited area (INT 1 – N 2.2) bounded by positions 1) to 4).
Delete the buoyage as specified at positions 2) and 3).
1) 54° 54.936'N - 009° 46.898'E
2) 54° 54.930'N - 009° 46.849'E, yellow spar buoy with cross topmark, Fl(4)Y.10s
3) 54° 54.913'N - 009° 46.869'E, yellow spar buoy with cross topmark
4) 54° 54.924'N - 009° 46.896'E",NM-972-25,NM-972-25,1/16/26,"00018-26
Chart 155 2026-01-16
Denmark. The Little Belt. Sønderborg Havn. Nordhavnen. Prohibited area cancelled. Buoyage withdrawn.
Details:
Delete the prohibited area (INT 1 – N 2.2) bounded by positions 1) to 4).
Delete the buoyage as specified at positions 2) and 3).
1) 54° 54.936'N - 009° 46.898'E
2) 54° 54.930'N - 009° 46.849'E, yellow spar buoy with cross topmark, Fl(4)Y.10s
3) 54° 54.913'N - 009° 46.869'E, yellow spar buoy with cross topmark
4) 54° 54.924'N - 009° 46.896'E
Source: NM-972-25
Published: 2026-01-16",Denmark. The Little Belt. Sønderborg Havn. Nordhavnen. Prohibited area cancelled. Buoyage withdrawn.,NM-065-19.,['NM-065-19'],"The prohibited area bounded by a line through positions 1) - 4) has been canncelled. The buoyage has been withdrawn.
1) 54° 54.936'N - 009° 46.898'E coast
2) 54° 54.930'N - 009° 46.849'E yellow spar buoy with cross topmark, Fl(4)Y.10s
3) 54° 54.913'N - 009° 46.869'E yellow spar buoy with cross topmark
4) 54° 54.924'N - 009° 46.896'E coast","155, 152 (INT 1373), 103 (INT 1303).","['155', '152', '103']",(Sønderborg Municipality 20 November 2025. Published 21 November 2025),"NM-972-25
Denmark. The Little Belt. Sønderborg Havn. Nordhavnen. Prohibited area cancelled. Buoyage withdrawn.
References
NM-065-19.
Details
The prohibited area bounded by a line through positions 1) - 4) has been canncelled. The buoyage has been withdrawn.
1) 54° 54.936'N - 009° 46.898'E coast
2) 54° 54.930'N - 009° 46.849'E yellow spar buoy with cross topmark, Fl(4)Y.10s
3) 54° 54.913'N - 009° 46.869'E yellow spar buoy with cross topmark
4) 54° 54.924'N - 009° 46.896'E coast
Charts
155, 152 (INT 1373), 103 (INT 1303).
Publication
www.danskehavnelods.dk.
(Sønderborg Municipality 20 November 2025. Published 21 November 2025)",NtM-Week-48-2025.pdf,,1,,www.danskehavnelods.dk.
26,00016-26,163,['163'],Denmark. The Waters South of Zealand. Guldborg Sund. Buoyed measuring equipment deployed.,"Insert the buoy as specified at position 1).
Insert the text ""Rec.St."" nearby.
1) 54° 44.416'N - 011° 52.210'E, yellow spar buoy with cross topmark.",NM-013-26,NM-013-26,1/15/26,"00016-26
Chart 163 2026-01-15
Denmark. The Waters South of Zealand. Guldborg Sund. Buoyed measuring equipment deployed.
Details:
Insert the buoy as specified at position 1).
Insert the text ""Rec.St."" nearby.
1) 54° 44.416'N - 011° 52.210'E, yellow spar buoy with cross topmark.
Source: NM-013-26
Published: 2026-01-15",Denmark. The Waters South of Zealand. Guldborg Sund. Buoyed measuring equipment deployed.,NM-939-25 - (cancelled).,['NM-939-25'],"Buoyed measuring equipment has been deployed in the mentioned position.
54° 44.416'N - 011° 52.210'E, yellow spar buoy with cross topmark.","196, 142 (INT 1368), 103 (INT 1303).","['196', '142', '103']",(Marine Science & Consulting ApS 8 January 2026. Published 9 January 2026),"NM-013-26
Denmark. The Waters South of Zealand. Guldborg Sund. Buoyed measuring equipment deployed.
References
NM-939-25 - (cancelled).
Details
Buoyed measuring equipment has been deployed in the mentioned position.
54° 44.416'N - 011° 52.210'E, yellow spar buoy with cross topmark.
Charts
196, 142 (INT 1368), 103 (INT 1303).
(Marine Science & Consulting ApS 8 January 2026. Published 9 January 2026)",NtM-Week-3-2026.pdf,,1,,
27,00015-26,132,['132'],Denmark. The Sound. Køge Bugt. Solrød N. Obstruction.,"
Insert obstruction with unknown depth (INT 1 - K 40) at position 1).
1) 55° 32.902'N - 012° 15.130'E.",NM-012-26,NM-012-26,1/15/26,"00015-26
Chart 132 2026-01-15
Denmark. The Sound. Køge Bugt. Solrød N. Obstruction.
Details:
Insert obstruction with unknown depth (INT 1 - K 40) at position 1).
1) 55° 32.902'N - 012° 15.130'E.
Source: NM-012-26
Published: 2026-01-15",Denmark. The Sound. Køge Bugt. Solrød N. Obstruction.,,[],"An underwater obstruction is reported in the mentioned position.
55° 32.902'N - 012° 15.130'E.
The obstruction is not marked.
The depth above the obstruction is unknown.",132 (INT 1332).,['132'],(DEMA 5 January 2026. Published 9 January 2026),"NM-012-26
Denmark. The Sound. Køge Bugt. Solrød N. Obstruction.
Details
An underwater obstruction is reported in the mentioned position.
55° 32.902'N - 012° 15.130'E.
The obstruction is not marked.
The depth above the obstruction is unknown.
Charts
132 (INT 1332).
(DEMA 5 January 2026. Published 9 January 2026)",NtM-Week-3-2026.pdf,,1,,
28,00014-26,152,['152'],Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,"Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.",NM-014-26,NM-014-26,1/15/26,"00014-26
Chart 152 2026-01-15
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
Details:
Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.
Source: NM-014-26
Published: 2026-01-15",Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,NM-1111-24.,['NM-1111-24'],"55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.",141 (INT 1370).,['141'],(European Energy A/S 6 January 2026. Published 9 January 2026),"NM-014-26
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
References
NM-1111-24.
Details
55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.
Charts
141 (INT 1370).
(European Energy A/S 6 January 2026. Published 9 January 2026)",NtM-Week-3-2026.pdf,,1,,
29,00014-26,151,['151'],Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,"Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.",NM-014-26,NM-014-26,1/15/26,"00014-26
Chart 151 2026-01-15
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
Details:
Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.
Source: NM-014-26
Published: 2026-01-15",Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,NM-1111-24.,['NM-1111-24'],"55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.",141 (INT 1370).,['141'],(European Energy A/S 6 January 2026. Published 9 January 2026),"NM-014-26
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
References
NM-1111-24.
Details
55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.
Charts
141 (INT 1370).
(European Energy A/S 6 January 2026. Published 9 January 2026)",NtM-Week-3-2026.pdf,,1,,
30,00014-26,103,['103'],Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,"Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.",NM-014-26,NM-014-26,1/15/26,"00014-26
Chart 103 2026-01-15
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
Details:
Delete the buoy as specified at position 1).
Delete the text ""Rec.St."" nearby.
1) 55° 07.020'N - 009° 51.600'E, yellow spherical buoy with cross topmark, Fl(5)Y.20s.
Source: NM-014-26
Published: 2026-01-15",Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.,NM-1111-24.,['NM-1111-24'],"55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.",141 (INT 1370).,['141'],(European Energy A/S 6 January 2026. Published 9 January 2026),"NM-014-26
Denmark. The Little Belt. Lillegrund W. Buoyed measuring equipment withdrawn.
References
NM-1111-24.
Details
55° 07.020'N - 009° 51.600'E, yellow measuring station with cross topmark, Fl(5)Y.20s.
Charts
141 (INT 1370).
(European Energy A/S 6 January 2026. Published 9 January 2026)",NtM-Week-3-2026.pdf,,1,,
31,00013-26,108,['108'],Denmark. Limfjorden. Thyborøn. Svanholm. Buoyage withdrawn.,"Delete the buoy as specified at position 1).
1) 56° 41.830'N - 008° 14.420'E, red can buoy, Fl.R.3s",NM-003-26,NM-003-26,1/11/26,"00013-26
Chart 108 2026-01-11
Denmark. Limfjorden. Thyborøn. Svanholm. Buoyage withdrawn.
Details:
Delete the buoy as specified at position 1).
1) 56° 41.830'N - 008° 14.420'E, red can buoy, Fl.R.3s
Source: NM-003-26
Published: 2026-01-11",Denmark. The Liim Fiord. Thyborøn. Svanholm. Buoyage withdrawn.,,[],"The buoyage in the mentioned position has been withdrawn.
56° 41.830'N - 008° 14.420'E, red can buoy, Fl.R.3s.",108 (INT 1448).,['108'],(Lemvig Kommune 2 January 2026. Published 6 January 2026),"NM-003-26
Denmark. The Liim Fiord. Thyborøn. Svanholm. Buoyage withdrawn.
Details
The buoyage in the mentioned position has been withdrawn.
56° 41.830'N - 008° 14.420'E, red can buoy, Fl.R.3s.
Charts
108 (INT 1448).
(Lemvig Kommune 2 January 2026. Published 6 January 2026)",NtM-Week-2-2026.pdf,,1,,
32,00011-26,124,['124'],Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,"Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)",NM-1075-25,NM-1075-25,1/9/26,"00011-26
Chart 124 2026-01-09
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
Details:
Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)
Source: NM-1075-25
Published: 2026-01-09",Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,NM-427-25 - (cancelled).,['NM-427-25'],"The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).","124, 102 (INT 1302), 100.","['124', '102', '100']",(Ørsted 19 December 2025. Published 19 December 2025),"NM-1075-25
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
References
NM-427-25 - (cancelled).
Details
The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).
Charts
124, 102 (INT 1302), 100.
(Ørsted 19 December 2025. Published 19 December 2025)",NtM-Week-52-2025.pdf,,1,,
33,00011-26,102,['102'],Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,"Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)",NM-1075-25,NM-1075-25,1/9/26,"00011-26
Chart 102 2026-01-09
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
Details:
Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)
Source: NM-1075-25
Published: 2026-01-09",Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,NM-427-25 - (cancelled).,['NM-427-25'],"The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).","124, 102 (INT 1302), 100.","['124', '102', '100']",(Ørsted 19 December 2025. Published 19 December 2025),"NM-1075-25
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
References
NM-427-25 - (cancelled).
Details
The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).
Charts
124, 102 (INT 1302), 100.
(Ørsted 19 December 2025. Published 19 December 2025)",NtM-Week-52-2025.pdf,,1,,
34,00011-26,100,['100'],Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,"Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)",NM-1075-25,NM-1075-25,1/9/26,"00011-26
Chart 100 2026-01-09
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
Details:
Delete the Racon as specified at position 1).
1) 56° 30.477'N - 011° 11.026'E, RACON (U)
Source: NM-1075-25
Published: 2026-01-09",Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.,NM-427-25 - (cancelled).,['NM-427-25'],"The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).","124, 102 (INT 1302), 100.","['124', '102', '100']",(Ørsted 19 December 2025. Published 19 December 2025),"NM-1075-25
Denmark. Kattegat. Anholt Vindmøllepark. Racon discontinued.
References
NM-427-25 - (cancelled).
Details
The Racon in the mentioned position has been discontinued.
56° 30.477'N - 011° 11.026'E, Racon (U).
Charts
124, 102 (INT 1302), 100.
(Ørsted 19 December 2025. Published 19 December 2025)",NtM-Week-52-2025.pdf,,1,,
